periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Cas suspects de paludismes vus dans les structures de santé,Cas suspects de paludisme vu par les ASC,Cas suspects de paludisme ayant été testés par GE/FM,Cas suspects de paludisme ayant été testés par TDR,Cas de paludisme simple confirmés par GE/FM dans les structures santé,Cas de paludisme simple confirmé par les ASC (TDR+),Cas de paludisme simple confirmés par TDR dans les structures santé,Cas de paludisme simple traité avec les CTA dans les structures de santé,Cas de paludisme simple confirmés traités avec CTA par les ASC,Cas de paludisme grave confirmés par GE/FM dans les structures de santé,Cas de paludisme grave confirmés par TDR dans les structures santé,Cas de paludisme grave confirmé traité (Artesunate ou Arthemeter ou Quinine injectable),Cas presumés de paludisme grave par diagnostic clinique (cas testés négatifs traités et non testés traités par antipaludique),Cas presumés de paludisme simple par diagnostic clinique (cas testés négatifs traités et non testés traités par antipaludique),Cas presumés de paludisme par diagnostic clinique (cas testés négatifs traités et non testés traités par CTA) par les ASC
202401,Janvier 2024,202401,,Mali,Bamako,1er arrondissement,cItMOMbQ8Ns,1er arrondissement,,,KWOoDmCIZ7p,Publique,,,6045,,2551,3368,1067,,905,1972,,521,662,1183,615,663,
202401,Janvier 2024,202401,,Mali,Bamako,1er arrondissement,cItMOMbQ8Ns,1er arrondissement,,,LjZFmglR38X,Para publique,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bamako,1er arrondissement,cItMOMbQ8Ns,1er arrondissement,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bamako,2ème arrondissement,zj0QHmPcZbm,2ème arrondissement,,,KWOoDmCIZ7p,Publique,,,3481,,2246,1257,1333,,305,1638,,103,118,221,143,219,
202401,Janvier 2024,202401,,Mali,Bamako,2ème arrondissement,zj0QHmPcZbm,2ème arrondissement,,,LjZFmglR38X,Para publique,,,0,,0,0,0,,0,0,,0,0,0,0,0,
202401,Janvier 2024,202401,,Mali,Bamako,2ème arrondissement,zj0QHmPcZbm,2ème arrondissement,,,uD2y9P4ErAF,Confessionnel,,,646,,423,219,64,,0,62,,142,84,226,6,12,
202401,Janvier 2024,202401,,Mali,Bamako,3ème arrondissement,AWWwI08gCzU,3ème arrondissement,,,KWOoDmCIZ7p,Publique,,,2786,,2164,622,1262,,312,1574,,480,55,535,1,5,
202401,Janvier 2024,202401,,Mali,Bamako,3ème arrondissement,AWWwI08gCzU,3ème arrondissement,,,LjZFmglR38X,Para publique,,,164,,,164,0,,29,29,,0,57,57,44,44,
202401,Janvier 2024,202401,,Mali,Bamako,3ème arrondissement,AWWwI08gCzU,3ème arrondissement,,,uD2y9P4ErAF,Confessionnel,,,,,,,,,,,,,,,,,
202401,Janvier 2024,202401,,Mali,Bamako,4ème arrondissement,LbfVbpR760L,4ème arrondissement,,,KWOoDmCIZ7p,Publique,,,8106,0,4420,3686,2191,0,1145,3336,0,1670,1006,2676,0,0,0
